Detailed Statistics Arrivals  
Destination Airport: Dallas/Fort Worth, TX: Dallas/Fort Worth International (DFW)
Airline: JetBlue Airways (B6)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","05/06/2024","0215","N3077J","BOS","15:23","15:19","260","246","-4","15:05","14","0","0","0","0","0"
"B6","05/07/2024","0215","N3157J","BOS","15:23","15:18","260","255","-5","15:05","13","0","0","0","0","0"
"B6","05/08/2024","0215","N3104J","BOS","15:23","15:51","260","293","28","15:38","13","0","0","28","0","0"
"B6","05/09/2024","0215","N505JB","BOS","15:23","16:55","260","271","92","16:40","15","21","0","11","0","60"
"B6","05/10/2024","0215","N3139J","BOS","15:23","16:08","260","256","45","15:47","21","45","0","0","0","0"
"B6","05/11/2024","0215","N3044J","BOS","18:08","17:54","268","257","-14","17:35","19","0","0","0","0","0"
"B6","05/12/2024","0215","N3132J","BOS","15:23","15:43","260","261","20","15:28","15","0","0","20","0","0"
"B6","05/13/2024","0215","N3044J","BOS","15:23","16:00","260","276","37","15:42","18","21","0","16","0","0"
"B6","05/14/2024","0215","N3121J","BOS","15:23","15:23","260","264","0","15:04","19","0","0","0","0","0"
"B6","05/15/2024","0215","N3142J","BOS","15:23","15:09","260","244","-14","14:57","12","0","0","0","0","0"
"B6","05/16/2024","0215","N3185J","BOS","15:23","15:23","260","249","0","15:10","13","0","0","0","0","0"
"B6","05/17/2024","0215","N3112J","BOS","15:23","15:27","260","256","4","15:09","18","0","0","0","0","0"
"B6","05/18/2024","0215","N3169J","BOS","18:08","17:29","268","234","-39","17:13","16","0","0","0","0","0"
"B6","05/19/2024","0215","N3169J","BOS","15:23","14:57","260","230","-26","14:41","16","0","0","0","0","0"
"B6","05/20/2024","0215","N3044J","BOS","15:23","14:58","260","229","-25","14:44","14","0","0","0","0","0"
"B6","05/21/2024","0215","N3189J","BOS","15:23","15:24","260","265","1","15:09","15","0","0","0","0","0"
"B6","05/22/2024","0215","N3121J","BOS","16:21","21:37","260","317","316","21:14","23","0","0","316","0","0"
"B6","05/23/2024","0215","N3138J","BOS","16:21","17:44","260","272","83","17:31","13","71","0","12","0","0"
"B6","05/24/2024","0215","N3189J","BOS","16:21","16:15","260","251","-6","16:00","15","0","0","0","0","0"
"B6","05/25/2024","0215","N3138J","BOS","18:08","17:56","268","258","-12","17:42","14","0","0","0","0","0"
"B6","05/26/2024","0215","N3185J","BOS","16:21","16:10","260","256","-11","15:55","15","0","0","0","0","0"
"B6","05/27/2024","0215","N3044J","BOS","16:21","16:23","260","256","2","16:08","15","0","0","0","0","0"
"B6","05/28/2024","0215","N3189J","BOS","16:21","19:33","260","294","192","19:19","14","0","0","192","0","0"
"B6","05/29/2024","0215","N3104J","BOS","16:21","16:15","260","263","-6","15:43","32","0","0","0","0","0"
"B6","05/30/2024","0215","N3157J","BOS","16:21","18:02","260","255","101","17:58","4","0","0","101","0","0"
"B6","05/31/2024","0215","N789JB","BOS","16:21","18:26","260","235","125","18:15","11","37","0","0","0","88"
"B6","06/01/2024","0215","N3085J","BOS","18:08","17:39","268","241","-29","17:24","15","0","0","0","0","0"
"B6","06/02/2024","0215","N3157J","BOS","16:19","16:11","260","239","-8","15:54","17","0","0","0","0","0"
"B6","06/03/2024","0215","N3044J","BOS","16:19","18:05","260","303","106","17:46","19","17","0","43","0","46"
"B6","06/04/2024","0215","N3112J","BOS","16:19","17:19","260","239","60","17:09","10","58","0","0","0","2"
"B6","06/05/2024","0215","N3185J","BOS","16:19","16:20","260","251","1","15:59","21","0","0","0","0","0"
"B6","06/06/2024","0215","N3112J","BOS","16:12","15:59","253","245","-13","15:41","18","0","0","0","0","0"
"B6","06/07/2024","0215","N3104J","BOS","16:12","16:14","253","243","2","16:02","12","0","0","0","0","0"
"B6","06/08/2024","0215","N3185J","BOS","18:01","17:48","261","256","-13","17:38","10","0","0","0","0","0"
"B6","06/09/2024","0215","N3115J","BOS","16:12","17:01","253","300","49","16:48","13","2","0","47","0","0"
"B6","06/10/2024","0215","N3115J","BOS","16:12","16:38","253","264","26","16:26","12","15","0","11","0","0"
"B6","06/11/2024","0215","N3152J","BOS","17:51","19:01","261","243","70","18:45","16","15","0","0","0","55"
"B6","06/12/2024","0215","N3102J","BOS","16:12","17:41","253","241","89","17:28","13","89","0","0","0","0"
"B6","06/13/2024","0215","N3169J","BOS","13:39","13:15","245","229","-24","13:03","12","0","0","0","0","0"
"B6","06/14/2024","0215","N3104J","BOS","13:39","13:40","245","242","1","13:27","13","0","0","0","0","0"
"B6","06/15/2024","0215","N284JB","BOS","15:42","15:30","242","244","-12","15:13","17","0","0","0","0","0"
"B6","06/16/2024","0215","N3115J","BOS","13:39","15:29","245","233","110","15:16","13","9","0","0","0","101"
"B6","06/17/2024","0215","N3152J","BOS","13:39","17:48","245","0","0","17:33","15","0","0","0","0","0"
"B6","06/18/2024","0215","N3194J","BOS","13:39","13:19","245","231","-20","13:08","11","0","0","0","0","0"
"B6","06/19/2024","0215","N3152J","BOS","13:39","16:23","245","227","164","16:18","5","164","0","0","0","0"
"B6","06/20/2024","0215","N3044J","BOS","13:39","16:53","245","236","194","16:37","16","194","0","0","0","0"
"B6","06/21/2024","0215","N3023J","BOS","13:39","13:29","245","219","-10","13:19","10","0","0","0","0","0"
"B6","06/22/2024","0215","N329JB","BOS","15:42","15:21","242","230","-21","15:08","13","0","0","0","0","0"
"B6","06/23/2024","0215","N3115J","BOS","13:39","13:55","245","241","16","13:39","16","16","0","0","0","0"
"B6","06/24/2024","0215","N3157J","BOS","13:39","14:19","245","246","40","14:05","14","39","0","1","0","0"
"B6","06/25/2024","0215","N3112J","BOS","13:39","13:28","245","237","-11","13:18","10","0","0","0","0","0"
"B6","06/26/2024","0215","N2029J","BOS","13:39","13:56","245","252","17","13:41","15","10","0","7","0","0"
"B6","06/27/2024","0215","N3102J","BOS","13:39","13:19","245","228","-20","13:09","10","0","0","0","0","0"
"B6","06/28/2024","0215","N3162J","BOS","13:39","13:41","245","234","2","13:26","15","0","0","0","0","0"
"B6","06/29/2024","0215","N265JB","BOS","15:42","15:44","242","237","2","15:30","14","0","0","0","0","0"
"B6","06/30/2024","0215","N3125J","BOS","13:39","17:09","245","258","210","16:56","13","41","0","13","0","156"
"B6","07/01/2024","0215","N2038J","BOS","13:39","13:26","245","232","-13","13:16","10","0","0","0","0","0"
"B6","07/02/2024","0215","N3152J","BOS","13:39","13:31","245","243","-8","13:14","17","0","0","0","0","0"
"B6","07/03/2024","0215","N3132J","BOS","13:39","13:17","245","232","-22","13:03","14","0","0","0","0","0"
"B6","07/04/2024","0215","N3169J","BOS","13:39","13:35","245","250","-4","13:19","16","0","0","0","0","0"
"B6","07/05/2024","0215","N3125J","BOS","13:39","13:50","245","260","11","13:35","15","0","0","0","0","0"
"B6","07/06/2024","0215","N284JB","BOS","14:57","17:15","242","232","138","17:05","10","123","0","0","0","15"
"B6","07/07/2024","0215","N3169J","BOS","13:39","13:32","245","244","-7","13:20","12","0","0","0","0","0"
"B6","07/08/2024","0215","N3132J","BOS","13:39","13:57","245","259","18","13:42","15","0","0","18","0","0"
"B6","07/09/2024","0215","N3102J","BOS","13:39","13:40","245","248","1","13:25","15","0","0","0","0","0"
"B6","07/10/2024","0215","N3115J","BOS","13:39","14:46","245","252","67","14:32","14","60","0","7","0","0"
"B6","07/11/2024","0215","N3138J","BOS","13:39","13:50","245","242","11","13:39","11","0","0","0","0","0"
"B6","07/12/2024","0215","N3196J","BOS","13:39","14:00","245","262","21","13:42","18","4","0","17","0","0"
"B6","07/13/2024","0215","N283JB","BOS","14:57","15:11","242","254","14","14:59","12","0","0","0","0","0"
"B6","07/14/2024","0215","N3125J","BOS","13:39","14:00","245","245","21","13:45","15","21","0","0","0","0"
"B6","07/15/2024","0215","N3115J","BOS","13:39","13:35","245","244","-4","13:21","14","0","0","0","0","0"
"B6","07/16/2024","0215","N3195J","BOS","13:39","13:39","245","248","0","13:22","17","0","0","0","0","0"
"B6","07/17/2024","0215","N3121J","BOS","13:39","14:29","245","270","50","14:15","14","4","0","25","0","21"
"B6","07/18/2024","0215","N3139J","BOS","13:39","14:42","245","258","63","14:24","18","50","0","13","0","0"
"B6","07/19/2024","0215","N3044J","BOS","13:39","13:33","245","245","-6","13:21","12","0","0","0","0","0"
"B6","07/20/2024","0215","N306JB","BOS","14:57","15:18","242","267","21","15:02","16","0","0","21","0","0"
"B6","07/21/2024","0215","N3104J","BOS","13:39","13:54","245","257","15","13:42","12","3","0","12","0","0"
"B6","07/22/2024","0215","N3157J","BOS","13:39","14:42","245","296","63","14:27","15","12","0","51","0","0"
"B6","07/23/2024","0215","N3156J","BOS","13:39","14:27","245","291","48","13:43","44","2","0","46","0","0"
"B6","07/24/2024","0215","N3065J","BOS","13:39","13:45","245","256","6","13:33","12","0","0","0","0","0"
"B6","07/25/2024","0215","N3062J","BOS","13:39","14:37","245","249","58","14:27","10","27","0","4","0","27"
"B6","07/26/2024","0215","N3123J","BOS","13:39","14:33","245","239","54","14:29","4","16","0","0","0","38"
"B6","07/27/2024","0215","N329JB","BOS","14:57","14:46","242","232","-11","14:31","15","0","0","0","0","0"
"B6","07/28/2024","0215","N3118J","BOS","13:39","13:31","245","240","-8","13:18","13","0","0","0","0","0"
"B6","07/29/2024","0215","N3142J","BOS","13:39","13:22","245","225","-17","13:08","14","0","0","0","0","0"
"B6","07/30/2024","0215","N3149J","BOS","13:39","13:38","245","242","-1","13:22","16","0","0","0","0","0"
"B6","07/31/2024","0215","N3118J","BOS","13:39","13:23","245","234","-16","13:10","13","0","0","0","0","0"
"B6","08/01/2024","0215","N3152J","BOS","13:39","13:41","245","247","2","13:27","14","0","0","0","0","0"
"B6","08/02/2024","0215","N3104J","BOS","13:39","14:22","245","251","43","14:15","7","37","0","6","0","0"
"B6","08/03/2024","0215","N283JB","BOS","14:57","16:47","242","266","110","16:30","17","86","0","24","0","0"
"B6","08/04/2024","0215","N3125J","BOS","13:39","14:26","245","263","47","14:15","11","29","0","18","0","0"
"B6","08/05/2024","0215","N3152J","BOS","13:39","00:00","245","0","0","00:00","0","0","0","0","0","0"
"B6","08/06/2024","0215","N3058J","BOS","13:39","13:27","245","238","-12","13:12","15","0","0","0","0","0"
"B6","08/07/2024","0215","N3058J","BOS","13:39","13:32","245","246","-7","13:16","16","0","0","0","0","0"
"B6","08/08/2024","0215","N3121J","BOS","13:39","13:17","245","229","-22","13:06","11","0","0","0","0","0"
"B6","08/09/2024","0215","N3169J","BOS","13:39","14:11","245","277","32","13:57","14","0","0","32","0","0"
"B6","08/10/2024","0215","N354JB","BOS","15:57","16:24","247","253","27","16:13","11","21","0","6","0","0"
"B6","08/11/2024","0215","N3169J","BOS","13:39","13:52","245","254","13","13:40","12","0","0","0","0","0"
"B6","08/12/2024","0215","N3062J","BOS","13:39","14:09","245","249","30","13:58","11","26","0","4","0","0"
"B6","08/13/2024","0215","N3152J","BOS","13:39","13:24","245","237","-15","13:13","11","0","0","0","0","0"
